ID,month_no,flat_type,storey_range,floor_area_sqm,lease_commence_date,resale_price
1,24193,2,7,44,1979,230000
2,24193,2,1,44,1978,240000
3,24193,3,25,70,2012,476000
4,24193,3,10,68,1981,327000
5,24193,3,7,67,1978,315000
6,24193,3,10,68,1981,338000
7,24193,3,19,70,2012,480000
8,24193,3,16,70,2012,459000
9,24193,3,7,82,1981,380000
10,24193,3,10,67,1979,300888
11,24193,3,4,68,1981,342000
12,24193,3,1,74,1979,288888
13,24193,3,10,82,1980,390000
14,24193,3,4,74,1979,328000
15,24193,3,1,67,1980,280000
16,24193,3,7,75,1980,323000
17,24193,3,4,83,1979,350000
18,24193,3,10,67,1979,296000
19,24193,3,7,67,1978,345000
20,24193,3,4,88,1979,363000
21,24193,3,4,67,1978,308000
22,24193,3,10,73,1978,388000
23,24193,3,1,82,1978,360000
24,24193,3,10,67,1979,370000
25,24193,3,4,88,1979,380000
26,24193,3,1,73,1978,350000
27,24193,3,7,73,1978,327000
28,24193,3,1,60,1986,276000
29,24193,3,10,68,1980,315000
30,24193,3,1,73,1977,285000
31,24193,3,4,68,1980,315000
32,24193,3,4,68,1981,300000
33,24193,3,10,68,1981,306000
34,24193,3,4,68,1980,288000
35,24193,3,7,75,1980,358000
36,24193,3,7,82,1980,355000
37,24193,3,4,82,1981,360000
38,24193,3,1,75,1980,346088
39,24193,3,1,67,1985,318000
40,24193,3,1,68,1980,285000
41,24193,3,1,67,1980,325000
42,24193,3,10,68,1980,358000
43,24193,3,10,68,1980,339000
44,24193,4,7,97,1977,490000
45,24193,4,10,97,1977,465000
46,24193,4,7,92,1980,425000
47,24193,4,7,92,1979,458000
48,24193,4,7,91,1979,510000
49,24193,4,7,98,1978,490000
50,24193,4,1,98,1978,410000
51,24193,4,7,98,1978,495000
52,24193,4,7,92,1978,485000
53,24193,4,1,91,1980,438000
54,24193,4,19,85,2003,628000
55,24193,5,1,119,1979,572000
56,24193,5,13,119,1980,647000
57,24193,5,1,120,1980,608000
58,24193,5,22,135,1982,880000
59,24193,5,25,118,1980,710000
60,24193,5,19,118,1980,690000
61,24193,5,13,111,2003,830000
62,24193,5,10,110,2001,680000
63,24193,5,4,110,2001,653800
64,24193,2,1,45,1986,250000
65,24193,3,1,62,2010,420000
66,24193,3,7,69,2010,480000
67,24193,3,1,73,1978,320000
68,24193,3,10,60,1986,286000
69,24193,3,10,81,1977,373000
70,24193,3,7,60,1986,310000
71,24193,3,1,59,1978,270000
72,24193,3,10,82,1979,375000
73,24193,3,4,68,1979,353000
74,24193,3,4,68,1980,322000
75,24193,3,4,67,1978,297000
76,24193,3,7,67,1978,305000
77,24193,3,7,67,1978,320000
78,24193,3,13,67,1978,328000
79,24193,3,13,60,1986,300000
80,24193,3,4,67,1979,305000
81,24193,3,10,67,1979,300000
82,24193,3,10,68,1979,310000
83,24193,3,7,67,1979,300000
84,24193,3,1,68,1979,290000
85,24193,3,1,68,1980,290000
86,24193,3,1,67,1978,270000
87,24193,3,1,67,1982,290000
88,24193,3,1,67,1986,310000
89,24193,3,4,67,1985,298000
90,24193,3,4,67,1985,260000
91,24193,3,10,67,1982,308000
92,24193,3,7,65,1974,285000
93,24193,3,10,66,1983,318000
94,24193,3,10,65,1972,290000
95,24193,3,7,68,1981,290000
96,24193,4,7,93,1984,398000
97,24193,4,10,92,1979,418000
98,24193,4,1,92,1979,380000
99,24193,4,10,92,1979,450000
