Cust ID,State,VMail Plan,International Plan,Day_Minutes,Day_Calls,Day_Charge,Evening_Minutes,Evening_Calls,Evening_Charge,Night_Minutes,Night_Calls,Night_Charge,International_Minutes,International_Calls,International_Charge,Customer_Service_Calls,VMail_Messages,Churn
1,NE,1,0,216.44,21,12.9864,227.19,20,6.8157,172.02,25,3.4404,230.54,22,69.162,15,23,0
2,MA,1,1,0.37,1,0.0222,28.2,2,0.846,34.71,4,0.6942,,,,3,6,0
3,HI,1,1,343.29,35,20.5974,183.1,25,5.493,177.64,19,3.5528,338.88,38,101.664,17,36,0
4,NH,1,1,28.75,4,1.725,45.42,3,1.3626,38.67,6,0.7734,29.07,2,8.721,1,2,0
5,TN,1,1,27.33,3,1.6398,26.55,4,0.7965,44.01,4,0.8802,153.44,13,46.032,6,10,0
6,MO,1,1,151.25,14,9.075,185.54,18,5.5662,166.8,14,3.336,241.07,24,72.321,13,32,0
7,TN,1,1,247.41,27,14.8446,343.51,35,10.3053,316.16,32,6.3232,224.46,29,67.338,18,37,0
8,NY,1,1,3.43,1,0.2058,39.49,4,1.1847,42.65,5,0.853,32.25,4,9.675,4,6,1
9,MS,1,1,,,,,,,,,,,,,,,0
10,IN,1,1,177.28,21,10.6368,219.04,21,6.5712,120.07,12,2.4014,194.58,17,58.374,10,28,0
11,IL,1,1,59.24,7,3.5544,123.95,13,3.7185,111.64,9,2.2328,76.93,9,23.079,14,14,0
12,AR,1,1,229.58,27,13.7748,366.97,42,11.0091,310.5,34,6.21,278.33,34,83.499,17,51,0
13,DC,1,1,320.39,34,19.2234,187.83,19,5.6349,316.81,35,6.3362,358.89,34,107.667,12,33,0
14,SD,1,1,258.4,32,15.504,282.78,31,8.4834,260.55,31,5.211,314.69,31,94.407,12,44,0
15,NJ,1,1,28.41,2,1.7046,34.61,3,1.0383,15.28,1,0.3056,53.27,4,15.981,3,5,0
16,RI,1,1,234.77,27,14.0862,166.97,20,5.0091,257.11,28,5.1422,283.38,27,85.014,7,19,0
17,MN,1,1,73.67,8,4.4202,115.58,11,3.4674,25.48,4,0.5096,67.41,6,20.223,5,16,0
18,HI,1,1,379.52,42,22.7712,433.27,41,12.9981,503.94,49,10.0788,378.22,44,113.466,28,45,0
19,OK,1,1,55.45,4,3.327,18.55,1,0.5565,25.63,2,0.5126,24.67,2,7.401,2,4,0
20,CT,1,1,118.64,13,7.1184,77.18,9,2.3154,159.03,16,3.1806,146.18,13,43.854,7,8,0
21,MO,1,1,90.06,9,5.4036,51.75,7,1.5525,68.22,6,1.3644,55.54,4,16.662,3,10,0
22,IA,1,0,,,,,,,,,,,,,,,0
23,HI,1,1,300.18,30,18.0108,258.85,24,7.7655,197.59,23,3.9518,208.85,27,62.655,23,39,0
24,SC,0,1,427.02,42,25.6212,391.93,45,11.7579,436.02,46,8.7204,405.52,48,121.656,30,67,0
