"Brand","Count_ads","no_channels","length_avg","Impressions_avg","Adpos_avg","no_weeks","Ad_during_PT","Ad_during_NPT","Ad_during_weekend","Ad_during_weekday","Short_ad","Medium_length_ad","Long_ad","Early_position","Middle_position","End_position","Low_Impressions","High_Impressions","Brand_aired_Star","Brand_aired_Sony","Brand_aired_Viacom18","Brand_aired_Zee","Genre_Infotainment","Genre_Kids","Genre_Lifestyle","Genre_Movies","Genre_Music","Genre_News","Genre_Youth","Programme_Genre_Arts_and_Culture","Programme_GenreBUSINESS PROGRAM","Programme_GenreCAR / BIKE RACING","Programme_GenreCARTOONS/ANIMATION","Programme_GenreCHILDRENS PROGRAM","Programme_GenreCOMEDIES","Programme_GenreCOOKERY","Programme_GenreCRICKET","Programme_GenreDRAMA/SOAP","Programme_GenreEVENTS/CONCERTS/AWARDS/SHOWS","Programme_GenreFEATURE FILMS","Programme_GenreFILM BASED MAGAZINES","Programme_GenreFILM SONGS","Programme_GenreFILM TRAILORS/ALBUM PROMOS","Programme_GenreGAME SHOW/QUIZ","Programme_GenreHEALTH/FITNESS","Programme_GenreHORROR SERIAL","Programme_GenreINTERVIEWS/PORTRAITS/DISCUSSIO","Programme_GenreMYTHOLOGICAL/COSTUME DRAMAS","Programme_GenreNATURE/WILD LIFE/ENVIRONMENT","Programme_GenreNEWS BULLETIN","Programme_GenreREALITY SHOW","Programme_GenreRELIGIOUS/DEVOTIONAL/ASTROLOGY","Programme_GenreREVIEWS/REPORTS","Programme_GenreSCIENCE/EDUCATION","Programme_GenreTALENT SEARCH/FEATS","Programme_GenreTALK SHOWS/CHAT SHOW","Programme_GenreTELE SHOPPING","Programme_GenreTRAVEL PLACES","Programme_GenreWRESTLING"
"BAJAJ ALMOND DROPS",20951,24,22.9432962627082,129.371501121665,0.547906603634433,41,6311,14640,5680,15271,3449,6548,10954,6245,6351,8355,1627,19324,2544,3156,1513,4878,0,91,0,9603,3315,511,0,0,0,0,165,0,112,0,8,2370,83,2547,10,880,239,0,2,15,7,5,0,262,0,15,36,0,15,7,8,0,24
"BBLUNT SALON SECRET CREME HAIR COLOUR",1939,11,27.7411036616813,196.044605466735,0.557019891389376,6,612,1327,452,1487,0,292,1647,578,582,779,269,1670,307,462,215,375,0,0,301,188,279,0,0,0,0,0,0,0,5,9,0,210,23,55,0,105,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,1,0
"BIGEN MENS SPEEDY COLOR",694,3,22.1037463976945,200.736253602305,0.754774019759366,4,272,422,145,549,0,548,146,120,70,504,91,603,405,0,0,0,289,0,0,291,0,0,0,0,0,0,0,0,0,0,0,41,0,51,0,0,0,0,0,0,0,0,4,0,0,0,8,68,0,0,0,0,0
"BRYLCREEM",5650,27,21.058407079646,89.3425840707965,0.525419680447434,12,1578,4072,1604,4046,970,3112,1568,1869,1729,2052,1631,4019,1460,545,114,801,0,0,0,3147,0,306,0,0,0,0,7,0,16,0,0,386,21,1071,1,6,0,0,0,3,1,1,0,98,0,1,10,0,0,2,0,0,3
"CB-KESH KING OIL-BAJIRAO MASTANI",511,7,30,76.5829941291585,0.613318219978474,3,168,343,141,370,0,0,511,89,189,233,59,452,6,142,0,40,0,0,0,34,362,103,0,0,0,0,0,0,4,0,0,3,0,19,1,192,0,0,0,0,10,0,0,65,0,5,0,0,0,0,1,0,0
"CB-KUBER BRAHMA SANJIVANI A-HOUSEFULL 3",79,2,30,20.9175949367089,0.618877352341772,2,27,52,27,52,0,0,79,11,27,41,10,69,0,42,0,0,0,0,0,0,42,37,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0
"CHIK EGG WHITE PROTEIN SHAMPOO",3038,11,20,162.559315339039,0.536747633555629,32,1111,1927,1022,2016,0,3038,0,942,934,1162,90,2948,1169,37,260,1254,0,0,0,755,279,39,0,0,0,0,5,0,19,0,0,771,24,253,0,77,0,0,0,0,0,10,0,16,0,0,0,0,6,0,0,0,17
"CLINIC PLUS SHAMPOO",25793,32,18.6215252200209,126.233192339007,0.547490440116892,52,7472,18321,6698,19095,7289,11037,7467,7813,7728,10252,4845,20948,4616,2628,2008,5407,0,0,0,9765,2838,414,67,0,0,0,86,7,314,0,1,3373,159,3837,2,1701,341,11,0,37,30,77,0,187,18,0,20,0,24,9,22,0,8
"CLINIC PLUS SHAMPOO/CONDITIONER",5093,30,23.7384645591989,83.1106774003534,0.559624091011781,23,1339,3754,1507,3586,0,3189,1904,1364,1669,2060,1421,3672,1086,272,213,475,0,0,0,2418,667,240,51,0,0,0,12,0,20,0,1,310,12,920,0,297,121,0,0,9,0,15,0,75,0,4,25,0,0,9,19,0,3
"CLINIC PLUS STRONG AND THICK",10843,30,23.7166835746565,95.0051922899567,0.540448760779489,26,2885,7958,2954,7889,0,6813,4030,3458,3122,4263,3092,7751,2615,1074,571,900,0,0,0,5835,201,120,27,0,0,0,44,0,92,0,0,803,32,2136,1,101,67,0,0,6,0,48,0,48,0,0,5,0,0,3,27,0,3
